method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Keepalive,Keepalive,0.03021977083776295,0.9901874361855049,0.009909804402588379,0.6659722222222222,0.07714534061729178,0.009290789059266936,0.2566623553955154,0.25686606764793396,0.04527962952852249,5.0067901611328125e-06,0.008059263229370117
Crane,Crane,0.01123973111818067,0.9903141859493422,0.009780546606401878,0.4840277777777778,0.040409510323010246,0.00416425254607772,0.14662580311985088,0.16070279479026794,0.02013351209461689,2.86102294921875e-06,0.005606174468994141
Icebreaker,Icebreaker,0.20625513562891387,0.9988714950212062,0.0011297799410823607,0.9729166666666667,0.39867802872850905,0.2154785566184392,1.1587776126308647,0.6184471249580383,0.3557242155075073,3.0994415283203125e-06,0.006824016571044922
SmartPred,SmartPred,0.0013830147551207154,0.9588271649299543,0.04294083081495948,0.08611111111111111,0.08520843152443347,0.014876502134439123,0.42213806074957366,0.558285117149353,0.11844544112682343,1.3787178993225098,1.444997787475586
