method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Keepalive,Keepalive,0.11329305135951662,0.41609050911376494,1.403323262839879,0.024305555555555556,0.21808228855864403,0.793965699136503,1.0926427012116278,1.711424708366394,7.024552345275879,0.0016391277313232422,0.010404825210571289
Crane,Crane,0.6784962272660375,0.48061676824267047,1.0806598231193696,0.07361111111111111,0.25295836119391585,0.58824332597595,0.9453414854372244,1.1721354722976685,2.9085237979888916,4.76837158203125e-06,0.0069158077239990234
Icebreaker,Icebreaker,0.9695158078120901,0.6902907781690162,0.448664869393855,0.08472222222222223,0.20392770721181736,0.9383640018669672,0.5066472788390514,0.9096978902816772,4.582069396972656,4.0531158447265625e-06,0.014951229095458984
SmartPred,SmartPred,0.22154635430513603,0.7839059250527942,0.2756632754531727,0.06388888888888888,0.07149640481635477,0.0561851413019612,0.2870904566457534,0.5336460471153259,0.5199155211448669,0.08565378189086914,0.0915079116821289
