Model,MAE,Train_t,Pred_t
PatchTST,0.12,41.79,0.31
Dsp,0.02,0.0,0.0
TimesNet,0.12,496.39,0.36
Avgvalue,0.11,0.0,0.02
PatchTST,0.85,41.81,0.32
Avgvalue,0.0,0.0,0.01
Maxvalue,0.05,0.0,0.01
PatchTST,0.18,41.77,0.33
TimesNet,0.34,607.34,0.34
Dsp,0.04,0.0,0.0
Maxvalue,0.04,0.0,0.01
MLP,0.16,1.01,0.17
Movingavg,0.98,0.0,0.03
Movingavg,0.03,0.0,0.02
Avgvalue,0.07,0.0,0.02
NBEATS,0.67,2.31,0.2
TimesNet,0.94,595.0,0.27
PatchTST,0.07,41.77,0.31
Movingmax,0.06,0.0,0.02
Dsp,0.11,0.0,0.01
Avgvalue,0.12,0.0,0.01
Movingmax,0.32,0.0,0.02
PatchTST,1.51,41.81,0.33
Avgvalue,0.01,0.0,0.02
Movingmax,1.22,0.0,0.02
Dsp,0.04,0.0,0.0
Dsp,0.11,0.0,0.01
Avgvalue,0.02,0.0,0.02
PatchTST,0.25,41.79,0.31
Dsp,0.03,0.0,0.01
Avgvalue,0.06,0.0,0.01
NBEATS,0.65,2.38,0.2
Dsp,0.05,0.0,0.01
Dsp,0.02,0.0,0.01
TimesNet,0.77,615.57,0.35
Movingavg,0.59,0.0,0.02
NBEATS,0.72,2.37,0.2
NHITS,0.57,2.05,0.16
Dsp,0.02,0.0,0.01
Maxvalue,0.15,0.0,0.01
Dsp,0.01,0.0,0.01
NHITS,0.09,2.0,0.18
PatchTST,0.19,41.83,0.35
Dsp,0.08,0.0,0.01
TimesNet,0.44,445.37,0.3
MLP,0.1,1.01,0.13
NBEATS,0.25,2.32,0.19
TimesNet,0.43,662.44,0.34
Movingmax,1.27,0.0,0.02
NBEATS,1.01,2.33,0.21
NBEATS,0.46,2.32,0.19
MLP,0.47,1.06,0.13
NHITS,0.85,2.06,0.18
Movingavg,0.56,0.0,0.02
TimesNet,0.07,526.03,0.49
Dsp,0.02,0.0,0.01
PatchTST,0.26,41.79,0.33
MLP,0.28,1.03,0.16
Avgvalue,0.02,0.0,0.02
NBEATS,0.79,2.27,0.2
Maxvalue,0.11,0.0,0.01
Dsp,0.11,0.0,0.01
Dsp,0.02,0.0,0.01
Movingavg,0.57,0.0,0.02
Maxvalue,0.02,0.0,0.01
Movingmax,0.07,0.0,0.02
Dsp,0.05,0.0,0.01
PatchTST,0.46,41.77,0.32
PatchTST,0.79,41.82,0.31
MLP,0.43,1.01,0.16
TimesNet,0.45,530.24,0.29
NBEATS,0.73,2.29,0.18
PatchTST,0.8,41.85,0.34
PatchTST,0.34,41.82,0.34
NHITS,0.18,2.01,0.18
PatchTST,0.42,41.8,0.31
MLP,0.31,1.08,0.16
Dsp,0.12,0.0,0.0
Avgvalue,0.03,0.0,0.02
NHITS,0.27,2.08,0.18
Dsp,0.02,0.0,0.01
MLP,0.76,1.02,0.13
Avgvalue,0.06,0.0,0.02
Dsp,0.05,0.0,0.01
NBEATS,1.19,2.34,0.16
NHITS,0.52,2.03,0.18
MLP,0.19,1.01,0.15
Dsp,0.11,0.0,0.01
Dsp,0.02,0.0,0.01
Movingavg,0.56,0.0,0.02
PatchTST,0.71,41.81,0.48
MLP,0.18,1.08,0.16
PatchTST,0.06,41.79,0.31
NBEATS,0.71,2.35,0.18
Movingavg,0.57,0.0,0.02
Movingmax,0.34,0.0,0.02
TimesNet,3.81,568.81,0.3
MLP,0.22,1.0,0.16
MLP,0.34,1.02,0.17
PatchTST,0.42,41.77,0.32
Dsp,0.06,0.0,0.01
NHITS,0.45,2.01,0.15
Movingmax,0.06,0.0,0.02
TimesNet,0.11,458.51,0.48
Dsp,0.01,0.0,0.01
MLP,0.16,1.02,0.14
NBEATS,0.05,2.29,0.18
TimesNet,0.96,598.34,0.34
MLP,0.32,1.23,0.16
PatchTST,0.55,41.78,0.33
Dsp,0.0,0.0,0.0
PatchTST,0.85,41.52,0.44
PatchTST,0.14,41.79,0.31
Maxvalue,0.0,0.0,0.01
Maxvalue,0.12,0.0,0.01
Movingmax,0.73,0.0,0.02
Dsp,0.02,0.0,0.01
Movingavg,0.37,0.0,0.02
Movingmax,0.3,0.0,0.02
Avgvalue,0.13,0.0,0.02
MLP,0.05,1.02,0.13
Movingmax,1.12,0.0,0.02
Movingavg,0.08,0.0,0.02
