method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Keepalive,Keepalive,0.015089188603050621,0.9104759799704675,0.0983266137701272,0.21388888888888888,0.2321250591238824,0.1273320416925155,1.1304124302031902,1.3423007726669312,0.9397370219230652,2.86102294921875e-06,0.009901762008666992
Crane,Crane,0.12225215613958322,0.9689685655965613,0.032025223010545986,0.5944444444444444,0.31575534455832216,0.2195067315211462,1.0686280595514779,0.7962871789932251,0.5543072819709778,4.0531158447265625e-06,0.0067310333251953125
Icebreaker,Icebreaker,0.03987694167147016,0.7942179878364399,0.25910016559073407,0.14305555555555555,0.6119083694490456,0.4684132535018214,2.430777745379059,2.7293081283569336,2.088151216506958,4.0531158447265625e-06,0.009312629699707031
SmartPred,SmartPred,0.00918213783764794,0.8653879423840672,0.1555511130015141,0.11527777777777778,0.3371550947097394,0.21299990293241072,1.4647939832459536,1.8846021890640259,1.2895853519439697,1.3455140590667725,1.2975327968597412
