∆¿º€÷∏±Í	Dlinear	PatchTST	NHITS	NBEATS	Crane	Avgvalue	Maxvalue	Minvalue	Movingavg	Movingmin	Movingmax
MSE											
MAE											
CSR											
RUR											
SelAsy											
