method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,0.24654627657851705,0.7527294072154729,0.3284986482715487,0.4076388888888889,0.7596934634562539,0.9297907728193582,1.6514516353221995,2.6843926906585693,3.369378089904785,4.0531158447265625e-06,0.00468897819519043
Icebreaker,Icebreaker,0.15202010049938539,0.6746447821606222,0.4822615196064994,0.26944444444444443,0.8379512277419379,1.0297219666885724,2.2869277052686137,3.457118034362793,4.4867682456970215,3.0994415283203125e-06,0.005921840667724609
SmartPred,SmartPred,0.18661775433239197,0.7773062124463176,0.28649428499075896,0.35555555555555557,0.6250296424231012,0.7171241719112688,1.9845899243197949,2.5167298316955566,3.190774917602539,0.6059720516204834,0.5967531204223633
NHITS,NHITS,0.07245270705034174,0.5646118080965756,0.7711283853081448,0.15,1.1144573477057003,1.6820977225440938,3.6115692367333496,5.0175957679748535,7.817984580993652,3.4533119201660156,0.1227109432220459
NBEATS,NBEATS,0.12580885568210728,0.6318617042861528,0.5826247946609648,0.2375,0.9359136829151398,1.244758726270618,2.627385967771059,3.987515687942505,5.557858467102051,3.0931320190429688,0.08940911293029785
DLinear,DLinear,0.24734029164703322,0.7208278396712281,0.3872938099284611,0.38472222222222224,0.8384168920002943,1.0785719015622,2.0119348629057936,3.076122999191284,4.144513130187988,1.9091131687164307,0.0701897144317627
Movingavg,Movingavg,0.2556588621600399,0.7992081512499569,0.2512384895424371,0.4638888888888889,0.6696635133890848,0.7623908949949153,1.5787487015392085,2.276808738708496,2.7663328647613525,4.0531158447265625e-06,0.00922083854675293
Movingmax,Movingmax,0.021129274038118352,0.4784004371136837,1.0902990934399315,0.05138888888888889,1.4683111342876025,3.2370831271625913,5.4624818717758705,7.475465774536133,17.158126831054688,4.0531158447265625e-06,0.007215023040771484
Movingmin,Movingmin,0.7448782925262332,0.9914366595895259,0.008637304589906488,0.8319444444444445,0.9954715692703875,1.744465267717757,2.8550570813504352,1.5921320915222168,3.3211557865142822,3.0994415283203125e-06,0.007149219512939453
Maxvalue,Maxvalue,0.13641230637447355,0.5942059721750933,0.6829181240631023,0.21875,1.082419730208934,1.860105565526385,3.347211498710508,4.7402777671813965,8.4135160446167,3.0994415283203125e-06,0.002904176712036133
Minvalue,Minvalue,0.6206010421871654,0.9266437359439079,0.0791633949603826,0.70625,0.9244607610418346,1.5269513742205751,2.424775234585206,1.820441722869873,3.239823818206787,3.0994415283203125e-06,0.0030760765075683594
Avgvalue,Avgvalue,0.3021153068265637,0.7817376908911658,0.27920146572441557,0.4638888888888889,0.7679792190490348,0.995879674078841,1.7172552612150513,2.49660062789917,3.322956085205078,3.0994415283203125e-06,0.006122112274169922
Quantile,Quantile,0.3712970214934528,0.6323463058927551,0.5814119426034856,0.42083333333333334,1.258626485207802,2.662432120604462,3.740935565544775,4.574916362762451,10.231659889221191,1.0967254638671875e-05,1.158857822418213
