method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,0.10786938012486469,0.8950553507165012,0.11724934016593554,0.5020833333333333,0.2947119148661953,0.155815649354537,5.136390561854177,1.1927731037139893,0.7052552103996277,1.9073486328125e-06,0.005253314971923828
Icebreaker,Icebreaker,0.34614131173614715,0.9019182296835138,0.10874796305082278,0.7402777777777778,0.5955137318273104,0.6125127661836617,24.406379754498843,1.545877456665039,1.4720600843429565,3.0994415283203125e-06,0.007023811340332031
SmartPred,SmartPred,0.012789745765754701,0.960691619007907,0.04091675227966198,0.27152777777777776,0.07030932327296627,0.015055349349774873,1.5049831453301907,0.5729358792304993,0.19053450226783752,0.5759150981903076,0.5766429901123047
NHITS,NHITS,0.10200767341843767,0.8283271176300802,0.2072525198270632,0.3541666666666667,0.404864880297544,0.3247679605648406,1.536942318896113,1.9072611331939697,1.5589607954025269,3.7426917552948,0.13054203987121582
NBEATS,NBEATS,0.13535315050778501,0.81055548662829,0.23372183212250333,0.4,0.48317081191503697,0.4587639586313933,6.426443152384991,2.1952388286590576,2.1200664043426514,3.328382968902588,0.09011983871459961
DLinear,DLinear,0.1748850828167595,0.8602540813155722,0.16244726031490223,0.5256944444444445,0.44161525377458927,0.35922845783645574,4.793125627623795,1.6483590602874756,1.3119010925292969,2.100001096725464,0.07139205932617188
Movingavg,Movingavg,0.11658262725190162,0.8953480769291019,0.11688406527865394,0.46111111111111114,0.30564057899883623,0.3033395907559626,7.235492544805138,1.5585275888442993,1.867987036705017,9.059906005859375e-06,0.010902881622314453
Movingmax,Movingmax,0.006882125912453352,0.8244156733570839,0.21298033542706582,0.07083333333333333,0.2878307361771755,0.26793010268725204,3.6734369193787426,2.1706058979034424,2.7386975288391113,8.106231689453125e-06,0.008772134780883789
Movingmin,Movingmin,0.16837671043183097,0.9943591572259655,0.005672842386015698,0.8875,0.22785522646136352,0.28149585573159763,8.857525381931495,0.4817304313182831,0.46837180852890015,2.86102294921875e-06,0.008322000503540039
Maxvalue,Maxvalue,0.019505873922684623,0.8528185952322044,0.17258231186636303,0.26458333333333334,0.2514703218992016,0.27485488439022293,3.8510442272007492,1.7584024667739868,2.276963233947754,3.0994415283203125e-06,0.003999948501586914
Minvalue,Minvalue,0.14257936389699116,0.9778459003613266,0.022656023439366683,0.7965277777777777,0.2163162501219387,0.1533613492484036,1.3095630141256056,0.5767764449119568,0.3978483974933624,4.291534423828125e-06,0.003690958023071289
Avgvalue,Avgvalue,0.07066500257106469,0.9203715227461667,0.08651775428279512,0.5166666666666667,0.20577422968871464,0.14265594937064457,1.8789116420479761,1.080183744430542,0.9909306168556213,1.0013580322265625e-05,0.007218837738037109
Quantile,Quantile,0.085957309084174,0.9383909696959785,0.06565390364315017,0.6194444444444445,0.19848029857462626,0.09983727136318912,2.828013656251369,0.7439982891082764,0.4191802144050598,3.814697265625e-06,1.0117580890655518
