method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Keepalive,Keepalive,0.028733773413346646,0.9963459828044502,0.0036674180040024537,0.7875,0.07752876801772657,0.009571044126797726,0.6666658504146412,0.16762758791446686,0.02654488943517208,2.1457672119140625e-06,0.007816314697265625
Crane,Crane,0.015051857882546569,0.9890232522018289,0.011098574046398635,0.5513888888888889,0.06257210558920916,0.00709179991970205,0.48792449644314717,0.21647949516773224,0.02890181355178356,4.0531158447265625e-06,0.005217075347900391
Icebreaker,Icebreaker,0.2099162850984947,0.9995925427935224,0.0004076232955268697,0.9694444444444444,0.5032578368007362,0.3038458746875166,4.440093360356957,0.6986443400382996,0.43719401955604553,3.0994415283203125e-06,0.007109165191650391
SmartPred,SmartPred,0.0003338504387316982,0.9605233121851129,0.041099145969795754,0.02847222222222222,0.09913984721919927,0.018637603249231787,0.6361222372939697,0.578768253326416,0.12260185927152634,1.2644798755645752,1.232841968536377
