method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Keepalive,Keepalive,0.023129758773694244,0.9822158309541513,0.018106172274350345,0.5881944444444445,0.07605435376174145,0.013991429923733712,1.0015804306289353,0.3100670278072357,0.09682107716798782,3.0994415283203125e-06,0.009456872940063477
Crane,Crane,0.06365130379722893,0.9938311309123068,0.006207160246661211,0.8756944444444444,0.12884492244047094,0.029057295772383956,0.5262430191088895,0.23691388964653015,0.07224948704242706,4.76837158203125e-06,0.006009101867675781
Icebreaker,Icebreaker,0.0007066274405226432,0.7711711054798739,0.29672908242293683,0.025,0.5485817859423103,0.390039101628772,2.680655695618101,2.8208651542663574,1.9618135690689087,4.0531158447265625e-06,0.0075130462646484375
SmartPred,SmartPred,0.006927083029630782,0.9443205592331448,0.05896243624312351,0.07013888888888889,0.12152471596003331,0.023397616285254358,0.598905734911653,0.6909314393997192,0.1649746298789978,1.2674002647399902,1.2678921222686768
