method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,2.7755575615628914e-17,0.760938490805314,0.3141666666666619,0.0020833333333333333,0.04090101619980886,0.003194915254237288,0.3141666666666669,0.1833494007587433,0.01432203408330679,8.821487426757812e-06,0.006952762603759766
Icebreaker,Icebreaker,0.9843271233080849,0.5197495155870967,0.9240037171952412,0.016666666666666666,0.24844351391624836,1.0000386696070431,0.9406872277597855,1.5261402130126953,7.661330699920654,3.0994415283203125e-06,0.010962963104248047
SmartPred,SmartPred,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05936002731323242,0.05679488182067871
NHITS,NHITS,0.0034610554575920105,0.8958755882778373,0.11622641925350763,0.011111111111111112,0.01558198199068296,0.0007546661950375116,0.11462492617271383,0.07729288190603256,0.0037519200704991817,3.4135429859161377,0.1368119716644287
NBEATS,NBEATS,0.8695771048466364,0.4326620955431766,1.3112724925546597,0.016666666666666666,0.2839224340986429,0.8364528685740604,1.32601108755206,1.581234097480774,6.203144550323486,3.0735628604888916,0.09013104438781738
DLinear,DLinear,0.4983590953052044,0.6576630588585364,0.5205354573748385,0.016666666666666666,0.13264877221770846,0.2775341248139993,0.5289822217020453,0.9704201817512512,2.1927075386047363,1.9203739166259766,0.14768624305725098
Movingavg,Movingavg,1.0,0.5000000000000087,0.9999999999999877,0.016666666666666666,0.26037782196164766,1.0423728813559319,1.0169491525423728,1.615427851676941,7.958475112915039,4.0531158447265625e-06,0.01028895378112793
Movingmax,Movingmax,1.0,0.047619047619047616,20.0,0.016666666666666666,2.733967130597301,21.355932203389823,20.01694915254237,15.063942909240723,117.66948699951172,4.0531158447265625e-06,0.00853419303894043
Movingmin,Movingmin,1.0,1.0,0.0,0.016666666666666666,0.13018891098082383,1.0169491525423726,0.01694915254237288,1.0035395622253418,7.838982582092285,3.0994415283203125e-06,0.008634090423583984
Maxvalue,Maxvalue,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0994415283203125e-06,0.004251956939697266
Minvalue,Minvalue,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86102294921875e-06,0.004189968109130859
Avgvalue,Avgvalue,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0994415283203125e-06,0.006899118423461914
Quantile,Quantile,0.0,0.9999999999999997,6.661338147750939e-16,0.0,8.881784197001253e-17,4.733165431326071e-31,1.1563098121742844e-17,0.0,0.0,0.0006630420684814453,0.4642198085784912
