method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,0.0297617023831123,0.8867126560615957,0.12776105445655556,0.5729166666666666,0.476677723726204,1.0088513428979524,0.5198351081750868,2.3432979583740234,5.189924240112305,1.9073486328125e-06,0.005206108093261719
Icebreaker,Icebreaker,0.09559824905198802,0.8727018148128365,0.14586675887051098,0.41875,0.7306943621687659,0.7266884309700065,1.0647951708300964,2.7445712089538574,2.7006096839904785,2.86102294921875e-06,0.007287025451660156
SmartPred,SmartPred,0.00104579890947098,0.9734072937450348,0.027319197653279087,0.05625,0.08583497563336451,0.012176045327118256,0.15348070083118132,0.49898120760917664,0.07852588593959808,1.2302720546722412,1.2196829319000244
NHITS,NHITS,0.00016909603425367917,0.7511808913490802,0.33123727123044056,0.011111111111111112,1.0028648301076664,2.0852837560565445,1.4775973504919169,5.711146354675293,11.688104629516602,3.736693859100342,0.12355613708496094
NBEATS,NBEATS,0.015624854836291033,0.8845950012297527,0.1304608307867575,0.3875,0.4420681397968064,0.9667388044460531,0.45881497422380235,2.350712299346924,5.038668632507324,3.3326220512390137,0.09004092216491699
DLinear,DLinear,0.001947922885354774,0.8357416427849985,0.19654202783007382,0.07708333333333334,0.6006480573842431,1.2339125150842383,0.7631479208701941,3.4267873764038086,6.651798725128174,2.0937509536743164,0.07086706161499023
Movingavg,Movingavg,0.018689775470702632,0.9770666893441918,0.023471591965949265,0.4909722222222222,0.12758400793698113,0.06670498767813102,0.27227233403682805,0.6261051893234253,0.40509557723999023,6.9141387939453125e-06,0.010626792907714844
Movingmax,Movingmax,0.001107855677316152,0.9660092928431616,0.03518672895661115,0.12222222222222222,0.10983060691667489,0.04927540544852897,0.20884224999052653,0.7523353695869446,0.4361591041088104,4.0531158447265625e-06,0.008771181106567383
Movingmin,Movingmin,0.03300383131105856,0.9987073888053704,0.0012942842008766846,0.8652777777777778,0.10378911567024199,0.04091288717831857,0.2131537420958928,0.2055094838142395,0.08826753497123718,1.2874603271484375e-05,0.00847005844116211
Maxvalue,Maxvalue,0.022071836567413405,0.8840640405084566,0.13113977515120223,0.4847222222222222,0.4636318192220813,1.004254896823507,0.4999301351163744,2.3590080738067627,5.183398246765137,4.76837158203125e-06,0.0037009716033935547
Minvalue,Minvalue,0.22262660272580564,0.9967126171612302,0.0032982253682437702,0.86875,0.6836684105187384,1.0417250856716735,1.3310456231591874,1.015275239944458,1.5500513315200806,3.814697265625e-06,0.003509998321533203
Avgvalue,Avgvalue,0.11136123347170544,0.9555503824770413,0.04651729342385202,0.7708333333333334,0.47775431522202216,0.423671303610527,0.7443591022807823,1.2158547639846802,1.0883029699325562,4.0531158447265625e-06,0.0068531036376953125
Quantile,Quantile,0.02170362397297063,0.8010606120590569,0.24834498781507472,0.37916666666666665,0.8171908627371777,2.511705395128284,0.9976206697760902,4.487244129180908,13.833091735839844,1.0013580322265625e-05,1.319720983505249
