model_name,trace_name,pattern,log_dict,extra_parameters
TimesNet,43,sparse,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.5652129650115967, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 0.2475931594879188, 'mse': 0.061302372625209996, 'r2': -0.13344151969786666, 'mae': 0.10239867218952045, 'crane_error': 0.10239867218952045, 'cold_start_invocation_ratio': 1.454307637913062, 'utilization_ratio': 0.5725738352608495, 'over_provisioned_ratio': 0.7464996449661825, 'cold_start_time_slot_ratio': 0.48194444444444445}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,43,sparse,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.000865936279296875, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 0.5283622494715786, 'mse': 0.2791666666666667, 'r2': -4.161612468903532, 'mae': 0.22916666666666666, 'crane_error': 0.22916666666666666, 'cold_start_invocation_ratio': 0.7313432835820896, 'utilization_ratio': 0.1925287356321839, 'over_provisioned_ratio': 4.1940298507462686, 'cold_start_time_slot_ratio': 0.03125}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,43,sparse,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007077932357788086, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 0.24150856897611084, 'mse': 0.05832638888888889, 'r2': -0.07841749070449677, 'mae': 0.0857638888888889, 'crane_error': 0.0857638888888889, 'cold_start_invocation_ratio': 0.9223880597014922, 'utilization_ratio': 0.5205905205905221, 'over_provisioned_ratio': 0.9208955223880642, 'cold_start_time_slot_ratio': 0.04236111111111111}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,51,sparse,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.6552629470825195, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 0.13177285829232746, 'mse': 0.01736408618252981, 'r2': -0.26443914552935177, 'mae': 0.05984919094025879, 'crane_error': 0.05984919094025879, 'cold_start_invocation_ratio': 4.787935275220702, 'utilization_ratio': 1.0, 'over_provisioned_ratio': 0.0, 'cold_start_time_slot_ratio': 1.0}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,51,sparse,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0007841587066650391, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 0.26874192494328497, 'mse': 0.07222222222222222, 'r2': -4.259165613147914, 'mae': 0.06666666666666667, 'crane_error': 0.06666666666666667, 'cold_start_invocation_ratio': 1.0, 'utilization_ratio': 0.1875, 'over_provisioned_ratio': 4.333333333333333, 'cold_start_time_slot_ratio': 0.011805555555555555}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,51,sparse,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.006999015808105469, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 0.12221906561580317, 'mse': 0.014937500000000003, 'r2': -0.08773704171934305, 'mae': 0.024513888888888887, 'crane_error': 0.024513888888888887, 'cold_start_invocation_ratio': 0.9888888888888889, 'utilization_ratio': 0.5070422535211254, 'over_provisioned_ratio': 0.972222222222221, 'cold_start_time_slot_ratio': 0.011805555555555555}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,61,sparse,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.480266809463501, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 4.366807044707083, 'mse': 19.069003765703407, 'r2': -0.09716773239887755, 'mae': 0.9953836527963192, 'crane_error': 0.9953836527963192, 'cold_start_invocation_ratio': 3.0609929635883275, 'utilization_ratio': 0.36807351396147076, 'over_provisioned_ratio': 1.7168485698340077, 'cold_start_time_slot_ratio': 0.5138888888888888}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,61,sparse,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0008029937744140625, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 0.5991892670749183, 'mse': 0.3590277777777778, 'r2': 0.9793427230046948, 'mae': 0.034027777777777775, 'crane_error': 0.034027777777777775, 'cold_start_invocation_ratio': 0.0, 'utilization_ratio': 0.8595988538681948, 'over_provisioned_ratio': 0.16333333333333333, 'cold_start_time_slot_ratio': 0.0}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,61,sparse,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0070230960845947266, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 4.328057685998806, 'mse': 18.732083333333335, 'r2': -0.07778243931675166, 'mae': 0.3377777777777778, 'crane_error': 0.3377777777777778, 'cold_start_invocation_ratio': 0.8106666666666666, 'utilization_ratio': 0.5522827687776141, 'over_provisioned_ratio': 0.8106666666666666, 'cold_start_time_slot_ratio': 0.00625}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,97,sparse,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.41715526580810547, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 0.37253897167630134, 'mse': 0.13878528541763607, 'r2': -0.5635059970554275, 'mae': 0.14850795626509963, 'crane_error': 0.14850795626509963, 'cold_start_invocation_ratio': 7.834484399159695, 'utilization_ratio': 0.1531104776768082, 'over_provisioned_ratio': 5.531231664699267, 'cold_start_time_slot_ratio': 0.5229166666666667}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,97,sparse,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0008347034454345703, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 0.0, 'mse': 0.0, 'r2': 1.0, 'mae': 0.0, 'crane_error': 0.0, 'cold_start_invocation_ratio': 0.0, 'utilization_ratio': 1.0, 'over_provisioned_ratio': 0.0, 'cold_start_time_slot_ratio': 0.0}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,97,sparse,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.00702214241027832, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 0.31269438398822863, 'mse': 0.09777777777777778, 'r2': -0.10152990264255934, 'mae': 0.022222222222222223, 'crane_error': 0.022222222222222223, 'cold_start_invocation_ratio': 1.0, 'utilization_ratio': 0.4999999999999998, 'over_provisioned_ratio': 1.0000000000000002, 'cold_start_time_slot_ratio': 0.001388888888888889}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,10,bursty,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4225950241088867, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 11.843519084072646, 'mse': 140.26894429479296, 'r2': -0.22723491202995794, 'mae': 9.239860787769464, 'crane_error': 0.8311681339124897, 'cold_start_invocation_ratio': 0.14986612338311028, 'utilization_ratio': 0.8825150707236132, 'over_provisioned_ratio': 0.13312512519480907, 'cold_start_time_slot_ratio': 0.48125}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,10,bursty,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0007979869842529297, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 13.188668326340693, 'mse': 173.94097222222223, 'r2': -0.5218367459508177, 'mae': 10.464583333333334, 'crane_error': 0.6839097504080726, 'cold_start_invocation_ratio': 0.07984346087585341, 'utilization_ratio': 0.8060241376945759, 'over_provisioned_ratio': 0.24065763447263755, 'cold_start_time_slot_ratio': 0.3104166666666667}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,10,bursty,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007345914840698242, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 8.254473955242561, 'mse': 68.13634027777778, 'r2': 0.40386451193996764, 'mae': 6.380486111111111, 'crane_error': 0.5615109538569154, 'cold_start_invocation_ratio': 0.09799859625241933, 'utilization_ratio': 0.9112298511743828, 'over_provisioned_ratio': 0.09741795520769088, 'cold_start_time_slot_ratio': 0.47847222222222224}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,14,bursty,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4405639171600342, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 77.93775584014925, 'mse': 6074.29378539872, 'r2': -0.15713570153325418, 'mae': 59.280814268974446, 'crane_error': 0.6636367911072298, 'cold_start_invocation_ratio': 0.12024646438428846, 'utilization_ratio': 0.9027908161834517, 'over_provisioned_ratio': 0.10767631003104378, 'cold_start_time_slot_ratio': 0.4597222222222222}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,14,bursty,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0012509822845458984, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 91.0655022192512, 'mse': 8292.925694444444, 'r2': -0.5797787743277933, 'mae': 69.2701388888889, 'crane_error': 0.5008838519635704, 'cold_start_invocation_ratio': 0.05181666720066643, 'utilization_ratio': 0.8233752643589214, 'over_provisioned_ratio': 0.21451304561425993, 'cold_start_time_slot_ratio': 0.275}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,14,bursty,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007515907287597656, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 51.17830500102341, 'mse': 2619.2189027777777, 'r2': 0.5010462434628553, 'mae': 37.529722222222226, 'crane_error': 0.4225963532355294, 'cold_start_invocation_ratio': 0.07257056806895, 'utilization_ratio': 0.9330763627231847, 'over_provisioned_ratio': 0.07172364444159642, 'cold_start_time_slot_ratio': 0.5041666666666667}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,54,bursty,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4258902072906494, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 2.0950781398678493, 'mse': 4.389352412152127, 'r2': 0.027279928669741715, 'mae': 1.7843503751645873, 'crane_error': 0.36437077708371984, 'cold_start_invocation_ratio': 0.07210340710734912, 'utilization_ratio': 0.9551934215068115, 'over_provisioned_ratio': 0.0469083826210902, 'cold_start_time_slot_ratio': 0.5097222222222222}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,54,bursty,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0007789134979248047, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 1.1217545780309226, 'mse': 1.2583333333333333, 'r2': 0.7211419875131184, 'mae': 0.3, 'crane_error': 0.03530484799651753, 'cold_start_invocation_ratio': 0.003890690134321445, 'utilization_ratio': 0.9841371136840186, 'over_provisioned_ratio': 0.016118573413617415, 'cold_start_time_slot_ratio': 0.014583333333333334}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,54,bursty,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007281780242919922, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 2.138353468338561, 'mse': 4.572555555555555, 'r2': -0.013319539768003041, 'mae': 2.0676388888888892, 'crane_error': 0.3708861676320424, 'cold_start_invocation_ratio': 0.06895321908290876, 'utilization_ratio': 0.9354946335798812, 'over_provisioned_ratio': 0.06895321908290876, 'cold_start_time_slot_ratio': 0.5006944444444444}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,55,bursty,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.41872620582580566, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 0.493257832069126, 'mse': 0.2433032888975341, 'r2': 0.11970669343605744, 'mae': 0.41516135464392, 'crane_error': 0.3612536839758485, 'cold_start_invocation_ratio': 0.07168900750295575, 'utilization_ratio': 0.9551750464416252, 'over_provisioned_ratio': 0.04692852239530721, 'cold_start_time_slot_ratio': 0.525}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,55,bursty,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0007941722869873047, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 0.27638539919628335, 'mse': 0.0763888888888889, 'r2': 0.7236180904522613, 'mae': 0.07361111111111111, 'crane_error': 0.03681244093814122, 'cold_start_invocation_ratio': 0.004166666666666667, 'utilization_ratio': 0.9834146341463414, 'over_provisioned_ratio': 0.016865079365079364, 'cold_start_time_slot_ratio': 0.014583333333333334}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,55,bursty,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007396221160888672, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 0.5289271111305308, 'mse': 0.2797638888888889, 'r2': -0.012211055276381888, 'mae': 0.5151388888888888, 'crane_error': 0.39474913212800805, 'cold_start_invocation_ratio': 0.07359126984126983, 'utilization_ratio': 0.9314531778447209, 'over_provisioned_ratio': 0.07359126984126983, 'cold_start_time_slot_ratio': 0.5006944444444444}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,56,bursty,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.42644405364990234, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 1.1073441194670184, 'mse': 1.2262109989181862, 'r2': 0.018934305488215397, 'mae': 0.9048361998399037, 'crane_error': 0.29908692870261033, 'cold_start_invocation_ratio': 0.05849192700933304, 'utilization_ratio': 0.9597652386134213, 'over_provisioned_ratio': 0.041921461382271555, 'cold_start_time_slot_ratio': 0.5201388888888889}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,56,bursty,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0007829666137695312, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 0.864420165325996, 'mse': 0.7472222222222222, 'r2': 0.40216317661003564, 'mae': 0.225, 'crane_error': 0.042618496449355864, 'cold_start_invocation_ratio': 0.0052404438964241675, 'utilization_ratio': 0.9806529625151149, 'over_provisioned_ratio': 0.01972872996300863, 'cold_start_time_slot_ratio': 0.01597222222222222}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,56,bursty,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0073130130767822266, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 1.130664750391458, 'mse': 1.2784027777777778, 'r2': -0.0228232418016594, 'mae': 1.057361111111111, 'crane_error': 0.3148078568733069, 'cold_start_invocation_ratio': 0.0586698520345252, 'utilization_ratio': 0.9445815407685629, 'over_provisioned_ratio': 0.05866985203452538, 'cold_start_time_slot_ratio': 0.5006944444444444}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,57,bursty,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4465811252593994, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 0.988717059744082, 'mse': 0.9775614242289825, 'r2': 0.11577358612453836, 'mae': 0.8329056390098953, 'crane_error': 0.36445414314804325, 'cold_start_invocation_ratio': 0.07254336896347051, 'utilization_ratio': 0.9556180850767101, 'over_provisioned_ratio': 0.04644315089508601, 'cold_start_time_slot_ratio': 0.5270833333333333}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,57,bursty,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0007910728454589844, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 0.5552777082985894, 'mse': 0.30833333333333335, 'r2': 0.721105527638191, 'mae': 0.1486111111111111, 'crane_error': 0.03698605204925233, 'cold_start_invocation_ratio': 0.004166666666666667, 'utilization_ratio': 0.9832227857978931, 'over_provisioned_ratio': 0.017063492063492062, 'cold_start_time_slot_ratio': 0.014583333333333334}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,57,bursty,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007447957992553711, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 1.0578542222610616, 'mse': 1.1190555555555557, 'r2': -0.012211055276381888, 'mae': 1.0302777777777776, 'crane_error': 0.39474913212800805, 'cold_start_invocation_ratio': 0.07359126984126983, 'utilization_ratio': 0.9314531778447209, 'over_provisioned_ratio': 0.07359126984126983, 'cold_start_time_slot_ratio': 0.5006944444444444}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,68,bursty,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4559509754180908, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 7.886405193477257, 'mse': 62.195386875705054, 'r2': -0.32406016939503, 'mae': 6.364672867082249, 'crane_error': 6.364672867082249, 'cold_start_invocation_ratio': 0.36271689807884067, 'utilization_ratio': 0.7385629628529093, 'over_provisioned_ratio': 0.3539807034693635, 'cold_start_time_slot_ratio': 0.4791666666666667}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,68,bursty,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0011997222900390625, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 11.298322146820444, 'mse': 127.65208333333334, 'r2': -1.7175494449409805, 'mae': 9.028472222222222, 'crane_error': 9.028472222222222, 'cold_start_invocation_ratio': 0.08476696903346888, 'utilization_ratio': 0.5176280105241854, 'over_provisioned_ratio': 0.9318892711917423, 'cold_start_time_slot_ratio': 0.14791666666666667}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,68,bursty,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007264852523803711, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 5.561603236078205, 'mse': 30.931430555555558, 'r2': 0.3415094392311355, 'mae': 4.25625, 'crane_error': 4.25625, 'cold_start_invocation_ratio': 0.2399906162026899, 'utilization_ratio': 0.8069156991418488, 'over_provisioned_ratio': 0.239286831404442, 'cold_start_time_slot_ratio': 0.44375}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,69,bursty,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4235360622406006, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 7.894880525432874, 'mse': 62.32913851085925, 'r2': -0.3228932037386212, 'mae': 6.36570967151223, 'crane_error': 6.36570967151223, 'cold_start_invocation_ratio': 0.3619467600812747, 'utilization_ratio': 0.7392686952459476, 'over_provisioned_ratio': 0.35268814496102735, 'cold_start_time_slot_ratio': 0.47430555555555554}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,69,bursty,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0008382797241210938, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 11.333363970546825, 'mse': 128.4451388888889, 'r2': -1.7261599526162281, 'mae': 9.064583333333333, 'crane_error': 9.064583333333333, 'cold_start_invocation_ratio': 0.08435331722148592, 'utilization_ratio': 0.5172594564077748, 'over_provisioned_ratio': 0.933265767521634, 'cold_start_time_slot_ratio': 0.14791666666666667}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,69,bursty,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0072748661041259766, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 5.572762381041879, 'mse': 31.05568055555555, 'r2': 0.34086448608198927, 'mae': 4.261805555555555, 'crane_error': 4.261805555555555, 'cold_start_invocation_ratio': 0.239572776175255, 'utilization_ratio': 0.8071864577433777, 'over_provisioned_ratio': 0.23887113120760922, 'cold_start_time_slot_ratio': 0.44375}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,71,bursty,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4431469440460205, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 18.51359152402843, 'mse': 342.7530711185774, 'r2': -0.37346200656991657, 'mae': 14.260868535870863, 'crane_error': 14.260868535870863, 'cold_start_invocation_ratio': 0.6138769709459009, 'utilization_ratio': 0.6512873008569049, 'over_provisioned_ratio': 0.5354206948059491, 'cold_start_time_slot_ratio': 0.4861111111111111}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,71,bursty,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0008320808410644531, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 27.382894599853145, 'mse': 749.8229166666666, 'r2': -2.004650795210012, 'mae': 18.65486111111111, 'crane_error': 18.65486111111111, 'cold_start_invocation_ratio': 0.10443250503693755, 'utilization_ratio': 0.41684357867724253, 'over_provisioned_ratio': 1.3989814192970673, 'cold_start_time_slot_ratio': 0.1}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,71,bursty,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007032155990600586, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 10.61811051144851, 'mse': 112.74427083333333, 'r2': 0.5482171116872623, 'mae': 6.606458333333332, 'crane_error': 6.606458333333332, 'cold_start_invocation_ratio': 0.26635325721961073, 'utilization_ratio': 0.7898470964234083, 'over_provisioned_ratio': 0.26606783075889834, 'cold_start_time_slot_ratio': 0.36875}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
