model_name,trace_name,pattern,log_dict,extra_parameters
Maxvalue,25,period,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0008709430694580078, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 30.402610907617788, 'mse': 924.31875, 'r2': 0.36245258557020343, 'mae': 18.41875, 'crane_error': 18.41875, 'cold_start_invocation_ratio': 0.12078064529481157, 'utilization_ratio': 0.7002144741037011, 'over_provisioned_ratio': 0.4281338603861835, 'cold_start_time_slot_ratio': 0.2375}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,25,period,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007153034210205078, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 28.968393336531456, 'mse': 839.1678125, 'r2': 0.4211853117422065, 'mae': 13.573819444444444, 'crane_error': 13.573819444444444, 'cold_start_invocation_ratio': 0.20257455659264476, 'utilization_ratio': 0.8319802469475926, 'over_provisioned_ratio': 0.20195161323702898, 'cold_start_time_slot_ratio': 0.4152777777777778}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,33,period,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4555220603942871, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 541794.4825792355, 'mse': 293541261353.3015, 'r2': -0.5482118554518634, 'mae': 475618.94735922717, 'crane_error': 0.4138235646726671, 'cold_start_invocation_ratio': 0.07544525131577105, 'utilization_ratio': 0.9386502309045723, 'over_provisioned_ratio': 0.06535956320631289, 'cold_start_time_slot_ratio': 0.61875}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,33,period,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0009129047393798828, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 1398291.55581432, 'mse': 1955219275061.6313, 'r2': -9.312327635654105, 'mae': 1144596.2104166667, 'crane_error': None, 'cold_start_invocation_ratio': 0.3374284007580889, 'utilization_ratio': 0.9985779516146546, 'over_provisioned_ratio': 0.0014240734867478908, 'cold_start_time_slot_ratio': 0.8520833333333333}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,33,period,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007149934768676758, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 89402.81343745464, 'mse': 7992863050.53232, 'r2': 0.9578435914706268, 'mae': 30121.69069444444, 'crane_error': 0.02469443929115222, 'cold_start_invocation_ratio': 0.004413218817712722, 'utilization_ratio': 0.9955160266022165, 'over_provisioned_ratio': 0.004504169976135028, 'cold_start_time_slot_ratio': 0.47291666666666665}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,39,period,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.44254207611083984, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 5030.16283661365, 'mse': 25302538.162849087, 'r2': -0.7514239927952271, 'mae': 4215.73303380775, 'crane_error': 0.7207635535175336, 'cold_start_invocation_ratio': 0.12080050281042497, 'utilization_ratio': 0.885419640936502, 'over_provisioned_ratio': 0.12940797082647396, 'cold_start_time_slot_ratio': 0.5458333333333333}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,39,period,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0008118152618408203, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 2451.1011608447425, 'mse': 6007896.900694445, 'r2': 0.5841375789893679, 'mae': 2069.0131944444443, 'crane_error': 0.127250487505048, 'cold_start_invocation_ratio': 0.0008181386912006608, 'utilization_ratio': 0.8912813971711546, 'over_provisioned_ratio': 0.12198010995619145, 'cold_start_time_slot_ratio': 0.013194444444444444}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
Movingavg,39,period,"{'model': 'Movingavg_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.007169008255004883, 'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False, 'rmse': 726.2773436667367, 'mse': 527478.7799236111, 'r2': 0.9634882878190849, 'mae': 433.7909027777777, 'crane_error': 0.07148487240879013, 'cold_start_invocation_ratio': 0.0128068916541198, 'utilization_ratio': 0.9872261973964688, 'over_provisioned_ratio': 0.012939083907232536, 'cold_start_time_slot_ratio': 0.43819444444444444}","{'seq_len': 4320, 'pred_len': 1, 'moving_window': 10, 'is_scaler': False, 'is_round': False}"
TimesNet,40,period,"{'model': 'TimesNet', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.4747600555419922, 'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False, 'rmse': 4256.654238195121, 'mse': 18119105.303544488, 'r2': -0.598549443883464, 'mae': 3365.712653055439, 'crane_error': 1.393531595998227, 'cold_start_invocation_ratio': 0.18372402856736172, 'utilization_ratio': 0.8356045796018486, 'over_provisioned_ratio': 0.19673829513534014, 'cold_start_time_slot_ratio': 0.5180555555555556}","{'seq_len': 480, 'pred_len': 240, 'max_steps': 10, 'is_scaler': True, 'is_round': False}"
Maxvalue,40,period,"{'model': 'Maxvalue_model', 'train_length': 5760, 'test_length': 1440, 'predict_t': 0.0010330677032470703, 'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False, 'rmse': 925.8703105427047, 'mse': 857235.8319444444, 'r2': 0.9243707766208686, 'mae': 657.5013888888889, 'crane_error': 0.11228824449879231, 'cold_start_invocation_ratio': 0.007058289172252824, 'utilization_ratio': 0.9369734582387965, 'over_provisioned_ratio': 0.06726609084495605, 'cold_start_time_slot_ratio': 0.20625}","{'seq_len': 4320, 'pred_len': 240, 'is_scaler': False, 'is_round': False}"
