method,baseline_name,cold_start_invocation_ratio,utilization_ratio,over_provisioned_ratio,cold_start_time_slot_ratio,mae,rmse,mape,selective_asymmetric_mae,selective_asymmetric_mse,train_t,predict_t
Crane,Crane,0.01123973111818067,0.9903141859493422,0.009780546606401878,0.4840277777777778,0.040409510323010246,0.00416425254607772,0.14662580311985088,0.16070279479026794,0.02013351209461689,5.0067901611328125e-06,0.005335807800292969
Icebreaker,Icebreaker,0.20625513562891387,0.9988714950212062,0.0011297799410823607,0.9729166666666667,0.39867802872850905,0.2154785566184392,1.1587776126308647,0.6184471249580383,0.3557242155075073,3.0994415283203125e-06,0.0069370269775390625
SmartPred,SmartPred,0.0013830147551207154,0.9588271649299543,0.04294083081495948,0.08611111111111111,0.08520843152443347,0.014876502134439123,0.42213806074957366,0.558285117149353,0.11844544112682343,1.2340779304504395,1.24648118019104
NHITS,NHITS,0.038517948313210724,0.9861205574352377,0.014074792843645824,0.6479166666666667,0.10110460692001173,0.01753760473802061,0.38563853234016904,0.28067436814308167,0.05509437993168831,3.7511091232299805,0.1304938793182373
NBEATS,NBEATS,0.11061481570715669,0.9351648489597807,0.06933018399091616,0.49930555555555556,0.34592736680969577,0.1911114394262208,0.925341890288117,0.9460678100585938,0.44366705417633057,3.313774824142456,0.08997011184692383
DLinear,DLinear,0.07061734399904875,0.9515671411581638,0.05089799421077918,0.5201388888888889,0.23360182858343434,0.0927417070540547,0.7947933509788192,0.6763461828231812,0.2448112666606903,2.0833630561828613,0.07061982154846191
Movingavg,Movingavg,0.031509650055251213,0.9694688156705399,0.03149269356162092,0.5611111111111111,0.12111609028754577,0.024397105990032975,0.5630111494721401,0.42326584458351135,0.10008011013269424,5.245208740234375e-06,0.010500907897949219
Movingmax,Movingmax,0.0018926796613230497,0.9485616182921485,0.054227770464145876,0.12777777777777777,0.10788629619412667,0.025020431266117745,0.5801199271092494,0.6454697847366333,0.1673154979944229,2.86102294921875e-06,0.00820612907409668
Movingmin,Movingmin,0.04516610758050574,0.9984066564876574,0.0015958863074368903,0.8416666666666667,0.08989554274677809,0.01523153557883233,0.32241247094910164,0.19176433980464935,0.04083720222115517,3.0994415283203125e-06,0.007921934127807617
Maxvalue,Maxvalue,0.0032877062559734374,0.8843482911461035,0.13077619984317854,0.10277777777777777,0.25772527216047286,0.10033690101455923,0.7680083173297754,1.3122940063476562,0.5400314927101135,3.0994415283203125e-06,0.0037949085235595703
Minvalue,Minvalue,0.021784372574573538,0.9941180657929767,0.0059167360592441666,0.6854166666666667,0.053252780480059644,0.006875999929404806,0.2034152362419251,0.15653559565544128,0.02478831820189953,3.0994415283203125e-06,0.003512144088745117
Avgvalue,Avgvalue,0.006118242379483043,0.9556136468825537,0.04644801093228849,0.17708333333333334,0.10105368652479044,0.015999685807756493,0.3262800179448725,0.49274787306785583,0.08722398430109024,2.86102294921875e-06,0.006804943084716797
Quantile,Quantile,0.06826322674966741,0.9953706072550584,0.004650923697362594,0.8361111111111111,0.14017060829491476,0.03152070927497829,0.4202284359784209,0.2473512589931488,0.06181827187538147,9.059906005859375e-06,1.2663390636444092
